"","X","id","dfname","cbal","sessionDurationInMin","randSeed","sessionTime","distribs","file.name"
"1",1,"AI1168","data\wtw_info_AI1168_1",2,15,210907.3,2014,"list(list(""scale_1.5_30""))","wtw_info_AI1168_1.mat"
"2",2,"BC1155","data\wtw_info_BC1155_1",1,15,207083.7,2014,"list(list(""scale_1.5_30""))","wtw_info_BC1155_1.mat"
"3",3,"BL1146","data\wtw_info_BL1146_1",2,15,209881.5,2014,"list(list(""scale_1.5_30""))","wtw_info_BL1146_1.mat"
"4",4,"BT1144","data\wtw_info_BT1144_1",1,15,210150.8,2014,"list(list(""scale_1.5_30""))","wtw_info_BT1144_1.mat"
"5",5,"BX2031","data\wtw_info_BX2031_1",2,15,210608.7,2014,"list(list(""scale_1.5_30""))","wtw_info_BX2031_1.mat"
"6",6,"CI1157","data\wtw_info_CI1157_1",2,15,210495.5,2014,"list(list(""scale_1.5_30""))","wtw_info_CI1157_1.mat"
"7",7,"CM1179","data\wtw_info_CM1179_1",2,15,209442.7,2014,"list(list(""scale_1.5_30""))","wtw_info_CM1179_1.mat"
"8",8,"DD3571","data\wtw_info_DD3571_1",2,15,208241.6,2014,"list(list(""scale_1.5_30""))","wtw_info_DD3571_1.mat"
"9",9,"DH1177","data\wtw_info_DH1177_1",2,15,211938.2,2014,"list(list(""scale_1.5_30""))","wtw_info_DH1177_1.mat"
"10",10,"DI1152","data\wtw_info_DI1152_1",2,15,210226.9,2014,"list(list(""scale_1.5_30""))","wtw_info_DI1152_1.mat"
"11",11,"DJ1158","data\wtw_info_DJ1158_1",2,15,215260.7,2014,"list(list(""scale_1.5_30""))","wtw_info_DJ1158_1.mat"
"12",12,"DN1154","data\wtw_info_DN1154_1",2,15,210582.1,2014,"list(list(""scale_1.5_30""))","wtw_info_DN1154_1.mat"
"13",13,"DV1180","data/wtw_info_DV1180_1",1,15,208385.2593,2014,"list(list(""scale_1.5_30""))","wtw_info_DV1180_1.mat"
"14",14,"DW1151","data\wtw_info_DW1151_1",2,15,214368.9,2014,"list(list(""scale_1.5_30""))","wtw_info_DW1151_1.mat"
"15",15,"EL1148","data\wtw_info_EL1148_1",2,15,213965.7,2014,"list(list(""scale_1.5_30""))","wtw_info_EL1148_1.mat"
"16",16,"EM1174","data\wtw_info_EM1174_1",1,15,213278.9,2014,"list(list(""scale_1.5_30""))","wtw_info_EM1174_1.mat"
"17",17,"FC1176","data\wtw_info_FC1176_1",1,15,210196.7,2014,"list(list(""scale_1.5_30""))","wtw_info_FC1176_1.mat"
"18",18,"FN1169","data\wtw_info_FN1169_1",2,15,205653.5,2014,"list(list(""scale_1.5_30""))","wtw_info_FN1169_1.mat"
"19",19,"FQ1163","data\wtw_info_FQ1163_1",2,15,212815.9,2014,"list(list(""scale_1.5_30""))","wtw_info_FQ1163_1.mat"
"20",20,"FX3562","data\wtw_info_FX3562_1",2,15,214575.5,2014,"list(list(""scale_1.5_30""))","wtw_info_FX3562_1.mat"
"21",21,"ID1156","data\wtw_info_ID1156_1",1,15,214435.1,2014,"list(list(""scale_1.5_30""))","wtw_info_ID1156_1.mat"
"22",22,"IQ3557","data\wtw_info_IQ3557_1",1,15,211734.4,2014,"list(list(""scale_1.5_30""))","wtw_info_IQ3557_1.mat"
"23",23,"JH1167","data\wtw_info_JH1167_1",1,15,206279.6,2014,"list(list(""scale_1.5_30""))","wtw_info_JH1167_1.mat"
"24",24,"KM1145","data\wtw_info_KM1145_1",2,15,207281.4,2014,"list(list(""scale_1.5_30""))","wtw_info_KM1145_1.mat"
"25",25,"LD1149","data\wtw_info_LD1149_1",1,15,212514.1,2014,"list(list(""scale_1.5_30""))","wtw_info_LD1149_1.mat"
"26",26,"LL3555","data\wtw_info_LL3555_1",1,15,208085.9,2014,"list(list(""scale_1.5_30""))","wtw_info_LL3555_1.mat"
"27",27,"LM1178","data/wtw_info_LM1178_1",2,15,212985.318,2014,"list(list(""scale_1.5_30""))","wtw_info_LM1178_1.mat"
"28",28,"LN3563","data\wtw_info_LN3563_1",2,15,214272,2014,"list(list(""scale_1.5_30""))","wtw_info_LN3563_1.mat"
"29",29,"MN1159","data\wtw_info_MN1159_1",1,15,212349.6,2014,"list(list(""scale_1.5_30""))","wtw_info_MN1159_1.mat"
"30",30,"NS950","data\wtw_info_NS950_1",1,15,211042.9,2014,"list(list(""scale_1.5_30""))","wtw_info_NS950_1.mat"
"31",31,"OT3551","data\wtw_info_OT3551_1",1,15,206703.3,2014,"list(list(""scale_1.5_30""))","wtw_info_OT3551_1.mat"
"32",32,"QW1166","data\wtw_info_QW1166_1",1,15,211070.6,2014,"list(list(""scale_1.5_30""))","wtw_info_QW1166_1.mat"
"33",33,"SQ1153","data\wtw_info_SQ1153_1",1,15,210930.1,2014,"list(list(""scale_1.5_30""))","wtw_info_SQ1153_1.mat"
"34",34,"SS839","data\wtw_info_SS839_1",1,15,211715.6,2014,"list(list(""scale_1.5_30""))","wtw_info_SS839_1.mat"
"35",35,"SW419","data\wtw_info_SW419_1",1,15,212337.5,2014,"list(list(""scale_1.5_30""))","wtw_info_SW419_1.mat"
"36",36,"TC1175","data\wtw_info_TC1175_1",1,15,210410.3,2014,"list(list(""scale_1.5_30""))","wtw_info_TC1175_1.mat"
"37",37,"TK3556","data\wtw_info_TK3556_1",2,15,206418.1,2014,"list(list(""scale_1.5_30""))","wtw_info_TK3556_1.mat"
"38",38,"TM3552","data\wtw_info_TM3552_1",1,15,209040.6,2014,"list(list(""scale_1.5_30""))","wtw_info_TM3552_1.mat"
"39",39,"UZ1190","data/wtw_info_UZ1190_1",2,15,214366.1437,2014,"list(list(""scale_1.5_30""))","wtw_info_UZ1190_1.mat"
"40",40,"ZD1162","data\wtw_info_ZD1162_1",1,15,213293.9,2014,"list(list(""scale_1.5_30""))","wtw_info_ZD1162_1.mat"
